input,output
1,0.539973348
1,0.642010643
1,0.695410115
1,0.722586016
1,0.7362692
1,0.743129838
1,0.746563967
0,0.448281793
0,0.239140858
0,0.122570422
0,0.061885209
0,0.031062604
1,0.315555302
0,0.217782451
0,0.120892186
0,0.062846285
0,0.031903181
0,0.016047598
1,0.308043001
0,0.214025341
1,0.419013438
1,0.571906873
0,0.358433467
0,0.19371274
1,0.399755571
1,0.560457626
1,0.652344781
1,0.700595584
0,0.425182431
1,0.527568143
1,0.626779457
0,0.385988806
1,0.507514218
1,0.616661072
1,0.680911329
0,0.414971823
0,0.222389143
0,0.114175218
1,0.357683738
0,0.238961095
1,0.431504393
0,0.278156965
1,0.451559436
1,0.588275909
1,0.666637193
0,0.407818444
1,0.518809192
0,0.32238459
0,0.173788294
1,0.389413347
0,0.255210513
0,0.139706025
0,0.072273166
0,0.036620614
0,0.018407113
1,0.309222918
0,0.214615331
1,0.41930844
0,0.272054375
0,0.148507218
1,0.376749615
1,0.548874009
0,0.346536845
0,0.18768839
0,0.096728189
1,0.348940893
1,0.534585806
1,0.639315975
1,0.694062602
0,0.421912224
1,0.525932296
1,0.625961385
1,0.68557974
1,0.717309679
1,0.733558802
1,0.741760193
0,0.445876255
1,0.537937359
1,0.631968526
0,0.388584232
0,0.20881211
0,0.107310054
1,0.354235827
0,0.237234073
0,0.130640269
0,0.067724781
1,0.33434332
0,0.227267846
1,0.42565316
1,0.575230427
0,0.360095983
1,0.494544146
1,0.610171304
1,0.677665498
1,0.713348718
1,0.731577553
0,0.440769415
0,0.235380835
1,0.420689643
0,0.270944667
0,0.147592302
0,0.076220145
0,0.038594871
0,0.019394395
0,0.00971659
0,0.004862173
1,0.302431862
1,0.511216086
1,0.627608074
1,0.688204043
1,0.718982023
0,0.434467012
0,0.232228706
1,0.419113393
0,0.270156504
1,0.447198214
1,0.586023099
0,0.365496348
1,0.497245134
0,0.311521959
1,0.468340858
1,0.596686405
0,0.370846397
0,0.199923838
1,0.402862047
0,0.262011049
0,0.14312153
1,0.373983966
1,0.547476623
0,0.34583524
0,0.187337005
0,0.09655238
1,0.348852965
1,0.534541838
1,0.63929399
0,0.394051609
0,0.211906727
0,0.108929548
1,0.355060011
1,0.537649053
1,0.640848336
0,0.39482893
1,0.512295417
0,0.319123899
1,0.472157188
1,0.598597641
1,0.67180263
0,0.410402077
0,0.220101191
0,0.113030626
1,0.357111319
1,0.538674861
1,0.641361271
0,0.395085403
0,0.212423655
1,0.409188018
0,0.265189247
0,0.144713671
1,0.374780645
0,0.247875084
0,0.136034495
0,0.070436638
0,0.035702197
0,0.017947874
0,0.008993292
1,0.304500517
0,0.212251033
